"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Sep 01 19:00:00 MSK 2024","Sun Sep 01 19:00:10 MSK 2024","9241","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","goToOurMission","Переход на вкладку Наша миссия",""
"passed","Sun Sep 01 19:01:58 MSK 2024","Sun Sep 01 19:02:15 MSK 2024","16694","","ru.iteco.fmhandroid.ui.tests.NewsTest","","ru.iteco.fmhandroid.ui.tests.NewsTest","editNews","Редактировать новость",""
"passed","Sun Sep 01 18:57:56 MSK 2024","Sun Sep 01 18:58:10 MSK 2024","13315","","ru.iteco.fmhandroid.ui.tests.AboutTest","","ru.iteco.fmhandroid.ui.tests.AboutTest","returnToMainScreen","Возврат на главный экран приложения",""
"broken","Sun Sep 01 18:59:21 MSK 2024","Sun Sep 01 18:59:42 MSK 2024","20312","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","menuNewsToAbout","Переход по меню",""
"passed","Sun Sep 01 19:00:40 MSK 2024","Sun Sep 01 19:00:50 MSK 2024","10461","","ru.iteco.fmhandroid.ui.tests.NewsTest","","ru.iteco.fmhandroid.ui.tests.NewsTest","createNewsWithEmptyDescription","Создать новость с пустым описанием",""
"passed","Sun Sep 01 18:58:54 MSK 2024","Sun Sep 01 18:59:11 MSK 2024","16903","","ru.iteco.fmhandroid.ui.tests.LoveQuotesTest","","ru.iteco.fmhandroid.ui.tests.LoveQuotesTest","ourMissionScreenElements","Экран с цитатами",""
"passed","Sun Sep 01 19:01:01 MSK 2024","Sun Sep 01 19:01:22 MSK 2024","21056","","ru.iteco.fmhandroid.ui.tests.NewsTest","","ru.iteco.fmhandroid.ui.tests.NewsTest","checkFilterOfActive","Фильтрация новостей по категории",""
"passed","Sun Sep 01 19:00:30 MSK 2024","Sun Sep 01 19:00:40 MSK 2024","9885","","ru.iteco.fmhandroid.ui.tests.NewsTest","","ru.iteco.fmhandroid.ui.tests.NewsTest","clickControlPanel","Перейти в Control panel",""
"passed","Sun Sep 01 18:58:25 MSK 2024","Sun Sep 01 18:58:36 MSK 2024","10807","","ru.iteco.fmhandroid.ui.tests.AuthTest","","ru.iteco.fmhandroid.ui.tests.AuthTest","loginWithValidData","Авторизация зарегистрированного пользователя и выход из профиля",""
"passed","Sun Sep 01 19:00:50 MSK 2024","Sun Sep 01 19:01:01 MSK 2024","10962","","ru.iteco.fmhandroid.ui.tests.NewsTest","","ru.iteco.fmhandroid.ui.tests.NewsTest","cancelCreateNews","Отмена создания носовти",""
"passed","Sun Sep 01 19:01:44 MSK 2024","Sun Sep 01 19:01:58 MSK 2024","14507","","ru.iteco.fmhandroid.ui.tests.NewsTest","","ru.iteco.fmhandroid.ui.tests.NewsTest","sortingNews","Сортировка новостей во вкладке Новости",""
"passed","Sun Sep 01 19:02:15 MSK 2024","Sun Sep 01 19:02:25 MSK 2024","9919","","ru.iteco.fmhandroid.ui.tests.NewsTest","","ru.iteco.fmhandroid.ui.tests.NewsTest","noNewsToShow","Фильтрация по дате",""
"passed","Sun Sep 01 18:59:42 MSK 2024","Sun Sep 01 18:59:51 MSK 2024","9551","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","menuElementsVisibility","Отображение разделов меню",""
"passed","Sun Sep 01 18:58:48 MSK 2024","Sun Sep 01 18:58:54 MSK 2024","5861","","ru.iteco.fmhandroid.ui.tests.AuthTest","","ru.iteco.fmhandroid.ui.tests.AuthTest","checkAuthScreenElements","Отображение элементов на странице авторизации",""
"passed","Sun Sep 01 18:57:44 MSK 2024","Sun Sep 01 18:57:56 MSK 2024","12511","","ru.iteco.fmhandroid.ui.tests.AboutTest","","ru.iteco.fmhandroid.ui.tests.AboutTest","checkClickLinks","Проверка ссылок",""
"passed","Sun Sep 01 18:59:51 MSK 2024","Sun Sep 01 19:00:00 MSK 2024","9234","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","checkNews","Посмотреть отдельную новoсть",""
"passed","Sun Sep 01 19:00:19 MSK 2024","Sun Sep 01 19:00:30 MSK 2024","10437","","ru.iteco.fmhandroid.ui.tests.NewsTest","","ru.iteco.fmhandroid.ui.tests.NewsTest","createNewsWithEmptyFields","Создать новость с пустыми полями",""
"passed","Sun Sep 01 19:00:10 MSK 2024","Sun Sep 01 19:00:19 MSK 2024","9890","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","","ru.iteco.fmhandroid.ui.tests.MainPaigeTest","checkNewsBlock","Развернуть/свернуть блок новостей",""
